Station	order	key	service_3	service_4	service_5	service_6	service_7	service_8	English	lon	lat
東京	1	dpt	 13:04	 13:24	 14:04	 14:24	 15:04	 15:24	Tokyo	139.7671248	35.68123620000001
上野	2	arr	13:09	13:29	14:09	14:29	15:09	15:29	Ueno	139.7774091	35.7141672
上野	2	dpt	13:10	13:30	14:10	14:30	15:10	15:30	Ueno	139.7774091	35.7141672
大宮	3	arr	13:28	13:48	14:28	14:48	15:28	15:48	Omiya	139.6238548	35.9064485
大宮	3	dpt	13:29	13:49	14:29	14:49	15:29	15:49	Omiya	139.6238548	35.9064485
熊谷	4	arr	13:41	NA	14:41	NA	15:41	NA	Kumagaya	139.3900334	36.1393899
熊谷	4	dpt	13:42	NA	14:42	NA	15:42	NA	Kumagaya	139.3900334	36.1393899
本庄早稲田	5	arr	13:50	NA	14:50	NA	15:50	NA	Honjo-Waseda	139.1796831	36.2188017
本庄早稲田	5	dpt	13:51	NA	14:51	NA	15:51	NA	Honjo-Waseda	139.1796831	36.2188017
高崎	6	arr	14:00	14:14	15:00	15:14	16:00	16:12	Takasaki	139.0126623	36.3228267
高崎	6	dpt	14:01	14:15	15:01	15:15	16:01	16:13	Takasaki	139.0126623	36.3228267
安中榛名	7	arr	NA	NA	15:09	NA	NA	NA	Annakaharuna	138.8489835	36.3625265
安中榛名	7	dpt	NA	NA	15:10	NA	NA	NA	Annakaharuna	138.8489835	36.3625265
軽井沢	8	arr	14:16	NA	15:21	NA	16:16	16:28	Karuizawa	138.63521437877966	36.34325739599876
軽井沢	8	dpt	14:17	NA	15:22	NA	16:17	16:29	Karuizawa	138.63521437877966	36.34325739599876
佐久平	9	arr	14:25	NA	15:30	NA	16:25	NA	Sakudaira	138.4639091	36.2778593
佐久平	9	dpt	14:26	NA	15:30	NA	16:26	NA	Sakudaira	138.4639091	36.2778593
上田	10	arr	14:35	NA	15:39	NA	16:35	NA	Ueda	138.2496376	36.3964872
上田	10	dpt	14:36	NA	15:40	NA	16:36	NA	Ueda	138.2496376	36.3964872
長野	11	arr	14:47	14:51	15:52	15:55	16:48	16:52	Nagano	138.1886437	36.6431243
長野	11	dpt	 	14:53	 	15:57	 	16:54	Nagano	138.1886437	36.6431243
飯山	12	arr	  	15:04	  	NA	  	17:05	Iiyama	138.3586452	36.8459859
飯山	12	dpt	NA	15:04	NA	NA	NA	17:05	Iiyama	138.3586452	36.8459859
上越妙高	13	arr	  	15:15	  	16:15	  	17:16	Joetsu-Myoko	138.248182	37.081567
上越妙高	13	dpt	NA	15:16	NA	16:16	NA	17:17	Joetsu-Myoko	138.248182	37.081567
糸魚川	14	arr	  	15:28	  	16:28	  	17:30	Itoigawa	137.8616128	37.0435416
糸魚川	14	dpt	NA	15:29	NA	16:29	NA	17:31	Itoigawa	137.8616128	37.0435416
黒部宇奈月温泉	15	arr	  	15:43	  	16:43	  	17:45	Kurobe-Unazuki Onsen	137.5836311	36.8157746
黒部宇奈月温泉	15	dpt	NA	15:44	NA	16:44	NA	17:45	Kurobe-Unazuki Onsen	137.5836311	36.8157746
富山	16	arr	  	15:56	  	16:56	  	17:58	Toyama	137.2126258	36.70182680000001
富山	16	dpt	NA	15:57	NA	16:57	NA	17:59	Toyama	137.2126258	36.70182680000001
新高岡	17	arr	  	16:05	  	17:05	  	18:07	Shintakaoka	137.0124074	36.7269646
新高岡	17	dpt	NA	16:06	NA	17:06	NA	18:08	Shintakaoka	137.0124074	36.7269646
金沢	18	arr	  	16:19	  	17:19	  	18:22	Kanazawa	136.6481714	36.57804429999999
金沢	18	dpt	NA	 	NA	 	NA	 	Kanazawa	136.6481714	36.57804429999999
